source,dest,edge_type,labels:label,source_type,flags:string[],lineno:int,code,childnum:int,funcid:int,classname,namespace,endlineno:int,source_name,doccomment,export,tainted
30,33,PARENT_OF,AST,AST_PARAM,,6.0,path,1.0,37.0,,6::6:,,,,True,
30,1836,LOOKUP,AST,,,6.0,any,0.0,37.0,,6::6:,,,,True,
30,1836,LOOKUP,AST,string,,6.0,path,1.0,37.0,,6:31:6:35,6.0,,,True,
30,34,FLOWS_TO,AST,,,6.0,any,2.0,37.0,,6::6:,,,,True,
31,32,PARENT_OF,AST,,,6.0,,3.0,37.0,,6::6:,,,,True,
34,35,PARENT_OF,AST,AST_STMT_LIST,,6.0,,4.0,37.0,,6:37:15:1,15.0,,,True,
34,37,PARENT_OF,AST,AST_ASSIGN,,7.0,path = path.split(KEYPATHSEPARATOR),0.0,37.0,,7:2:7:37,7.0,,,True,
34,1836,LOOKUP,AST,AST_VAR,,7.0,,0.0,37.0,,7:2:7:6,7.0,,,True,
34,1836,LOOKUP,AST,string,,7.0,path,0.0,37.0,,7:2:7:6,7.0,path,,True,
34,109,FLOWS_TO,AST,AST_METHOD_CALL,,7.0,path.split(KEYPATHSEPARATOR),1.0,37.0,,7:9:7:37,7.0,,,True,
35,36,PARENT_OF,AST,AST_VAR,,7.0,,0.0,37.0,,7:9:7:13,7.0,,,True,
37,38,ENTRY,AST,string,,7.0,path,0.0,37.0,,7:9:7:13,7.0,path,,True,
37,39,EXIT,AST,string,,7.0,split,1.0,37.0,,7:14:7:19,7.0,,,True,
37,40,PARENT_OF,AST,AST_ARG_LIST,,7.0,(KEYPATHSEPARATOR),2.0,37.0,,7:9:7:37,7.0,,,True,
37,41,PARENT_OF,AST,AST_VAR,,7.0,,0.0,37.0,,7:20:7:36,7.0,,,True,
37,42,PARENT_OF,AST,string,,7.0,KEYPATHSEPARATOR,0.0,37.0,,7:20:7:36,7.0,KEYPATHSEPARATOR,,True,
37,51,PARENT_OF,AST,AST_ASSIGN,,8.0,currentObj = obj,1.0,37.0,,8:6:8:22,8.0,,,True,
37,52,PARENT_OF,AST,AST_VAR,JS_DECL_VAR,8.0,,0.0,37.0,,8:6:8:16,8.0,,,True,
37,107,PARENT_OF,AST,string,,8.0,currentObj,0.0,37.0,,8:6:8:16,8.0,currentObj,,True,
37,108,PARENT_OF,AST,AST_VAR,,8.0,,1.0,37.0,,8:19:8:22,8.0,,,True,
42,43,PARENT_OF,AST,string,,8.0,obj,0.0,37.0,,8:19:8:22,8.0,obj,,True,
42,47,PARENT_OF,AST,AST_METHOD_CALL,,9.0,"path.forEach(function(p, index) {    if (index) {      currentObj = currentObj[p];    }  })",2.0,37.0,,9:2:13:4,13.0,,,True,
43,44,PARENT_OF,AST,AST_VAR,,9.0,,0.0,37.0,,9:2:9:6,9.0,,,True,
43,45,PARENT_OF,AST,string,,9.0,path,0.0,37.0,,9:2:9:6,9.0,path,,True,
43,46,PARENT_OF,AST,string,,9.0,forEach,1.0,37.0,,9:7:9:14,9.0,,,True,
47,48,PARENT_OF,AST,AST_ARG_LIST,,9.0,,2.0,37.0,,9:2:13:4,13.0,,,True,
47,49,PARENT_OF,AST,AST_CLOSURE,,9.0,,0.0,37.0,,9:15:13:3,13.0,,,True,
47,50,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,73.0,,,,,,True,
52,53,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,73.0,,,,,,True,
52,63,PARENT_OF,AST,string,,9.0,{anon},0.0,73.0,,9::9:,,,,True,
52,68,PARENT_OF,AST,,,9.0,,1.0,73.0,,9::9:,,,,True,
52,104,PARENT_OF,AST,AST_PARAM_LIST,,9.0,"p, index",2.0,73.0,,9:15:13:3,13.0,,,True,
53,54,PARENT_OF,AST,AST_PARAM,,9.0,p,0.0,73.0,,9::9:,,,,True,
53,56,PARENT_OF,AST,,,9.0,any,0.0,73.0,,9::9:,,,,True,
54,55,PARENT_OF,AST,string,,9.0,p,1.0,73.0,,9:24:9:25,9.0,,,True,
56,57,PARENT_OF,AST,,,9.0,any,2.0,73.0,,9::9:,,,,True,
56,59,PARENT_OF,AST,AST_PARAM,,9.0,index,1.0,73.0,,9::9:,,,,True,
56,60,PARENT_OF,AST,,,9.0,any,0.0,73.0,,9::9:,,,,True,
57,58,PARENT_OF,AST,string,,9.0,index,1.0,73.0,,9:27:9:32,9.0,,,True,
60,61,PARENT_OF,AST,,,9.0,any,2.0,73.0,,9::9:,,,,True,
61,62,PARENT_OF,AST,,,9.0,,3.0,73.0,,9::9:,,,,True,
63,64,PARENT_OF,AST,AST_STMT_LIST,,9.0,,4.0,73.0,,9:34:13:3,13.0,,,True,
63,66,PARENT_OF,AST,AST_IF,,10.0,,0.0,73.0,,10:4:12:5,12.0,,,True,
64,65,PARENT_OF,AST,AST_IF_ELEM,,10.0,,0.0,73.0,,10:4:12:5,12.0,,,True,
66,67,PARENT_OF,AST,AST_VAR,,10.0,,0.0,73.0,,10:8:10:13,10.0,,,True,
68,69,PARENT_OF,AST,string,,10.0,index,0.0,73.0,,10:8:10:13,10.0,index,,True,
68,71,PARENT_OF,AST,AST_STMT_LIST,,10.0,,1.0,73.0,,10:15:12:5,12.0,,,True,
68,72,PARENT_OF,AST,AST_ASSIGN,,11.0,currentObj = currentObj[p],0.0,73.0,,11:6:11:32,11.0,,,True,
69,70,PARENT_OF,AST,AST_VAR,,11.0,,0.0,73.0,,11:6:11:16,11.0,,,True,
72,73,PARENT_OF,AST,string,,11.0,currentObj,0.0,73.0,,11:6:11:16,11.0,currentObj,,True,
73,74,ENTRY,AST,AST_DIM,,11.0,currentObj[p],1.0,73.0,,11:19:11:32,11.0,,,True,
73,75,EXIT,AST,AST_VAR,,11.0,,0.0,73.0,,11:19:11:29,11.0,,,True,
73,76,PARENT_OF,AST,string,,11.0,currentObj,0.0,73.0,,11:19:11:29,11.0,currentObj,,True,
73,77,PARENT_OF,AST,AST_VAR,,11.0,,1.0,73.0,,11:30:11:31,11.0,,,True,
73,78,PARENT_OF,AST,string,,11.0,p,0.0,73.0,,11:30:11:31,11.0,p,,True,
73,87,PARENT_OF,AST,,,9.0,,5.0,73.0,,9::9:,,,,True,
73,88,PARENT_OF,AST,,,9.0,,6.0,73.0,,9::9:,,,,True,
73,102,PARENT_OF,AST,AST_RETURN,,14.0,return currentObj;,3.0,37.0,,14:2:14:20,14.0,,,True,
73,103,PARENT_OF,AST,AST_VAR,,14.0,,0.0,37.0,,14:9:14:19,14.0,,,True,
78,79,PARENT_OF,AST,string,,14.0,currentObj,0.0,37.0,,14:9:14:19,14.0,currentObj,,True,
78,83,PARENT_OF,AST,,,6.0,,5.0,37.0,,6::6:,,,,True,
79,80,PARENT_OF,AST,,,6.0,,6.0,37.0,,6::6:,,,,True,
79,81,PARENT_OF,AST,AST_ASSIGN,,17.0,"exports.serialize = function(obj, ignoreNativeFunc, outputObj, cache, path) {  path = path || '$';  cache = cache || {};  cache[path] = obj;  outputObj = outputObj || {};  var key;  for(key in obj) {    if(obj.hasOwnProperty(key)) {      if(typeof obj[key] === 'object' && obj[key] !== null) {        var subKey;        var found = false;        for(subKey in cache) {          if (cache.hasOwnProperty(subKey)) {            if (cache[subKey] === obj[key]) {              outputObj[key] = CIRCULARFLAG + subKey;              found = true;            }          }        }        if (!found) {          outputObj[key] = exports.serialize(obj[key], ignoreNativeFunc, outputObj[key], cache, path + KEYPATHSEPARATOR + key);        }      } else if(typeof obj[key] === 'function') {        var funcStr = obj[key].toString();        if(ISNATIVEFUNC.test(funcStr)) {          if(ignoreNativeFunc) {            funcStr = 'function() {throw new Error(\""Call a native function unserialized\"")}';          } else {            throw new E",5.0,14.0,,17::57:1,57.0,,,True,
79,82,PARENT_OF,AST,AST_PROP,,17.0,exports.serialize,0.0,14.0,,17::17:17,17.0,,,True,
83,84,PARENT_OF,AST,AST_VAR,,17.0,,0.0,14.0,,17::17:7,17.0,,,True,
83,85,PARENT_OF,AST,string,,17.0,exports,0.0,14.0,,17::17:7,17.0,exports,,True,
83,86,PARENT_OF,AST,string,,17.0,serialize,1.0,14.0,,17:8:17:17,17.0,,,True,
88,89,PARENT_OF,AST,AST_CLOSURE,,17.0,,1.0,14.0,,17:20:57:1,57.0,,,True,
89,90,PARENT_OF,Artificial,CFG_FUNC_ENTRY,,,,,114.0,,,,,,True,
90,91,PARENT_OF,Artificial,CFG_FUNC_EXIT,,,,,114.0,,,,,,True,
90,93,PARENT_OF,AST,string,,17.0,{anon},0.0,114.0,,17::17:,,,,True,
91,92,PARENT_OF,AST,,,17.0,,1.0,114.0,,17::17:,,,,True,
93,94,PARENT_OF,AST,AST_PARAM_LIST,,17.0,"obj, ignoreNativeFunc, outputObj, cache, path",2.0,114.0,,17:20:57:1,57.0,,,True,
94,95,PARENT_OF,AST,AST_PARAM,,17.0,obj,0.0,114.0,,17::17:,,,,True,
94,97,PARENT_OF,AST,,,17.0,any,0.0,114.0,,17::17:,,,,True,
95,96,PARENT_OF,AST,string,,17.0,obj,1.0,114.0,,17:29:17:32,17.0,,,True,
97,98,PARENT_OF,AST,,,17.0,any,2.0,114.0,,17::17:,,,,True,
97,100,PARENT_OF,AST,AST_PARAM,,17.0,ignoreNativeFunc,1.0,114.0,,17::17:,,,,True,
98,99,PARENT_OF,AST,,,17.0,any,0.0,114.0,,17::17:,,,,True,
100,101,PARENT_OF,AST,string,,17.0,ignoreNativeFunc,1.0,114.0,,17:34:17:50,17.0,,,True,
104,105,PARENT_OF,AST,,,17.0,any,2.0,114.0,,17::17:,,,,True,
105,106,PARENT_OF,AST,AST_PARAM,,17.0,outputObj,2.0,114.0,,17::17:,,,,True,
109,110,PARENT_OF,AST,,,17.0,any,0.0,114.0,,17::17:,,,,True,
109,114,PARENT_OF,AST,string,,17.0,outputObj,1.0,114.0,,17:52:17:61,17.0,,,True,
109,1899,LOOKUP,AST,,,17.0,any,2.0,114.0,,17::17:,,,,True,
109,690,LOOKUP,AST,AST_PARAM,,17.0,cache,3.0,114.0,,17::17:,,,,True,
109,409,FLOWS_TO,AST,,,17.0,any,0.0,114.0,,17::17:,,,,True,
110,111,PARENT_OF,AST,string,,17.0,cache,1.0,114.0,,17:63:17:68,17.0,,,True,
110,113,PARENT_OF,AST,,,17.0,any,2.0,114.0,,17::17:,,,,True,
111,112,PARENT_OF,AST,AST_PARAM,,17.0,path,4.0,114.0,,17::17:,,,,True,
114,115,ENTRY,AST,,,17.0,any,0.0,114.0,,17::17:,,,,True,
114,116,EXIT,AST,string,,17.0,path,1.0,114.0,,17:70:17:74,17.0,,,True,
114,117,PARENT_OF,AST,,,17.0,any,2.0,114.0,,17::17:,,,,True,
114,118,PARENT_OF,AST,,,17.0,,3.0,114.0,,17::17:,,,,True,
114,119,PARENT_OF,AST,AST_STMT_LIST,,17.0,,4.0,114.0,,17:76:57:1,57.0,,,True,
114,140,PARENT_OF,AST,AST_ASSIGN,,18.0,path = path || '$',0.0,114.0,,18:2:18:20,18.0,,,True,
114,141,PARENT_OF,AST,AST_VAR,,18.0,,0.0,114.0,,18:2:18:6,18.0,,,True,
114,407,PARENT_OF,AST,string,,18.0,path,0.0,114.0,,18:2:18:6,18.0,path,,True,
114,408,PARENT_OF,AST,AST_BINARY_OP,BINARY_BOOL_OR,18.0,path || '$',1.0,114.0,,18:9:18:20,18.0,,,True,
